OBJECTID;ID_DGC_03;id_dgc;ubigeo_cia_registro;id_comisaria_registro;comisaria_registro;ubic_comisaria_registro;fecha_hora_registro_hecho;ubigeo_cia_hecho;comisaria_hecho;tipo_via_hecho;cuadra_hecho;direccion_hecho;fecha_hora_hecho;turno_hecho;año_hecho;mes_hecho;dia_hecho;ubigeo_hecho_delito;lat_hecho;long_hecho;id_dpto_hecho;departamento_hecho;id_prov_hecho;provincia_hecho;id_dist_hecho;distrito_hecho;solo_denuncia;cod_uni_hecho;cod_cpnp_hecho;id_materia_hecho;materia_hecho;id_tipo_hecho;tipo_hecho;id_subtipo_hecho;subtipo_hecho;id_modalidad_hecho;modalidad_hecho;cod_macroregpol_hecho;macroregpol_hecho;cod_regpol_hecho;regionpol_hecho;cod_divpol_divopus_hecho;divpol_divopus_hecho;fecha_actualizacion;fuente;estado;GlobalID;Display Expression;x;y
56;3.13E+14;31.322.047;150103;1437;VITARTE;AV NICOLAS AYLLON S/N CC KM 7.5 VITARTE;enero 1, 2025;150103;CPNP SALAMANCA;Otros;;MARCO PUENTE LLANO TAGORE;enero 1, 2025;madrugada;2025;1;1;150103;-12,071;-76,981;15;LIMA METROPOLITANA;1501;LIMA;150103;ATE;1;220020;2140;1;FUERO COMUN;105;PATRIMONIO (DELITO);10.502;ROBO;1.050.215;ROBO AGRAVADO;13;LIMA;13R2;LIMA;13R1M;DIVPOL ESTE 2;octubre 31, 2025;SIDPOL-DGIS;3;491f1083-393f-4adc-bb9e-132337a42a02;3.13E+14;-76,981;-12,071
66;3.13E+14;31.322.069;150117;1375;PRO;JR. CONFRATERNIDAD CUADRA 07 URB. PRO;enero 1, 2025;150135;CPNP BARBONCITOS;Otros;;AV CENTRAL CON AV CANTA CALLAO;enero 1, 2025;madrugada;2025;1;1;150135;-12,032;-77,07;15;LIMA METROPOLITANA;1501;LIMA;150135;SAN MARTIN DE PORRES;1;219791;1930;1;FUERO COMUN;105;PATRIMONIO (DELITO);10.502;ROBO;1.050.201;ROBO;13;LIMA;13R2;LIMA;13R1F;DIVPOL NORTE 3;octubre 31, 2025;SIDPOL-DGIS;3;64392203-db65-47f4-8d98-98afb97442bf;3.13E+14;-77,07;-12,032
92;3.13E+14;31.322.143;150143;1468;VMT;AV.EL TRIUNFO 374 CERCADO VILLA MARIA DEL TRIUNFO;enero 1, 2025;150143;CPNP NUEVO PROGRESO;Otros;;JR PROCERES CDRA N°1;enero 1, 2025;madrugada;2025;1;1;150143;-12,224;-76,916;15;LIMA METROPOLITANA;1501;LIMA;150143;VILLA MARIA DEL TRIUNFO;1;240289;2283;1;FUERO COMUN;105;PATRIMONIO (DELITO);10.502;ROBO;1.050.215;ROBO AGRAVADO;13;LIMA;13R2;LIMA;13R1O;DIVPOL SUR 3;octubre 31, 2025;SIDPOL-DGIS;3;bf6b8a15-3567-450f-a4c2-effa3180f6eb;3.13E+14;-76,916;-12,224
127;3.13E+14;31.322.230;150140;1460;MATEO PUMACAHUA;calle las gemas s/N la huayrona sjl;enero 1, 2025;150133;CPNP LADERAS DE VILLA;Otros;;LOZA DEPORTIVA 1RO DE ABRIL;enero 1, 2025;madrugada;2025;1;1;150133;-12,181;-76,961;15;LIMA METROPOLITANA;1501;LIMA;150133;SAN JUAN DE MIRAFLORES;1;220130;2245;1;FUERO COMUN;105;PATRIMONIO (DELITO);10.502;ROBO;1.050.215;ROBO AGRAVADO;13;LIMA;13R2;LIMA;13R1N;DIVPOL SUR 2;octubre 31, 2025;SIDPOL-DGIS;3;a32aa58c-5911-4abf-a3e8-beeaf46347e0;3.13E+14;-76,961;-12,181
138;3.13E+14;31.322.279;150101;1422;SANTOYO;JR.CHIMBOTE 2110;enero 1, 2025;150101;CPNP UNIDAD VECINAL 3;Otros;;PARADERO CHIQUIAN EL AGUSTINO;enero 1, 2025;mañana;2025;1;1;150101;-12,056;-77,082;15;LIMA METROPOLITANA;1501;LIMA;150101;LIMA;1;219873;2010;1;FUERO COMUN;105;PATRIMONIO (DELITO);10.502;ROBO;1.050.215;ROBO AGRAVADO;13;LIMA;13R2;LIMA;13R1G;DIVPOL CENTRO 1;octubre 31, 2025;SIDPOL-DGIS;3;bd1511dd-a51c-4861-9bc7-7c06a4fcd54f;3.13E+14;-77,082;-12,056
172;3.13E+14;31.322.409;150117;1376;LAURA CALLER;JR. MARAÑON CUADRA 8 AV. UNIVERSITARIA;enero 1, 2025;150117;CPNP LAURA CALLER IBERICO;Otros;;OVALO HUANDOY;enero 1, 2025;madrugada;2025;1;1;150117;-11,966;-77,076;15;LIMA METROPOLITANA;1501;LIMA;150117;LOS OLIVOS;1;219666;1805;1;FUERO COMUN;105;PATRIMONIO (DELITO);10.502;ROBO;1.050.215;ROBO AGRAVADO;13;LIMA;13R2;LIMA;13R1D;DIVPOL NORTE 1;octubre 31, 2025;SIDPOL-DGIS;3;a97a8cb2-1d95-4e74-9ccf-43739f5ebf0a;3.13E+14;-77,076;-11,966
183;3.13E+14;31.322.464;150101;1414;UV-Nº3;AV. COLONIAL CDA. 32;enero 1, 2025;150101;CPNP UNIDAD VECINAL 3;Otros;;NA DISCOTECA CERCA DE LA PLAZA SAN MARTÍN (NO PRECISANDO EL LUGAR);enero 1, 2025;madrugada;2025;1;1;150101;-12,056;-77,082;15;LIMA METROPOLITANA;1501;LIMA;150101;LIMA;1;219873;2010;1;FUERO COMUN;105;PATRIMONIO (DELITO);10.502;ROBO;1.050.201;ROBO;13;LIMA;13R2;LIMA;13R1G;DIVPOL CENTRO 1;octubre 31, 2025;SIDPOL-DGIS;3;da69b9e6-aeed-4ecd-a074-6c45183bf98d;3.13E+14;-77,082;-12,056
194;3.13E+14;31.322.504;150142;1466;VILLA EL SALVADOR;AV. CESAR VALLEJO CON AV. REVOLUCION S/N;enero 1, 2025;150142;CPNP VILLA EL SALVADOR;Otros;;AV. 3 DE OCTUBRE & AV. SEPARADORA INDUSTRIAL, VILLA EL SALVADOR 15834, PERÚ;enero 1, 2025;madrugada;2025;1;1;150142;-12,215;-76,929;15;LIMA METROPOLITANA;1501;LIMA;150142;VILLA EL SALVADOR;1;220145;2270;1;FUERO COMUN;105;PATRIMONIO (DELITO);10.502;ROBO;1.050.201;ROBO;13;LIMA;13R2;LIMA;13R1N;DIVPOL SUR 2;octubre 31, 2025;SIDPOL-DGIS;1;058d65c2-cccc-4b87-afe2-0a374b86a024;3.13E+14;-76,929;-12,215
259;3.13E+14;31.322.418;150132;1430;CANTO REY;AV.BAUZATE Y MEZA C/06 - LA VICTORIA;enero 1, 2025;150132;CPNP CAJA DE AGUA;Otros;;AA.HH LA FLORIDA MZ I LOTE 1 SAN JUAN DE LURIGANCHO;enero 1, 2025;mañana;2025;1;1;150132;-12,03;-77,016;15;LIMA METROPOLITANA;1501;LIMA;150132;SAN JUAN DE LURIGANCHO;1;219958;2075;1;FUERO COMUN;105;PATRIMONIO (DELITO);10.502;ROBO;1.050.201;ROBO;13;LIMA;13R2;LIMA;13R1K;DIVPOL ESTE 1;octubre 31, 2025;SIDPOL-DGIS;3;ddb0803d-7eb1-47cb-89dc-a0cffca0c7c1;3.13E+14;-77,016;-12,03
393;3.13E+14;31.323.202;150101;1431;10 DE OCTUBRE;Jr. Marcelo Cdr. 4 Mz. F3 Lote 1 - AA.HH 10 de Octubre - SJL;enero 1, 2025;150132;CPNP CAJA DE AGUA;Otros;;MERCADO ONCE DE ENERO AA.HH CRUZ DE MOTUPOE SJL;enero 1, 2025;madrugada;2025;1;1;150132;-12,03;-77,016;15;LIMA METROPOLITANA;1501;LIMA;150132;SAN JUAN DE LURIGANCHO;1;219958;2075;1;FUERO COMUN;105;PATRIMONIO (DELITO);10.502;ROBO;1.050.215;ROBO AGRAVADO;13;LIMA;13R2;LIMA;13R1K;DIVPOL ESTE 1;octubre 31, 2025;SIDPOL-DGIS;3;7035febe-0367-42c0-a854-8e81f8f4d9db;3.13E+14;-77,016;-12,03
