ID_DGC_03;comisaria_registro;ubic_comisaria_registro;fecha_hora_registro_hecho;comisaria_hecho;tipo_via_hecho;cuadra_hecho;direccion_hecho;fecha_hora_hecho;turno_hecho;año_hecho;mes_hecho;dia_hecho;ubigeo_hecho_delito;lat_hecho;long_hecho;departamento_hecho;provincia_hecho;distrito_hecho;materia_hecho;tipo_hecho;subtipo_hecho;modalidad_hecho;macroregpol_hecho;regionpol_hecho;divpol_divopus_hecho;fecha_actualizacion;fuente;estado;ESTADO_COORD;OBSERVACION;x;y
3.13E+14;PUENTE PIEDRA;AV. REPUBLICA DE VENEZUELA CON LA AV. BUENOS AIRES CUADRA 03;December 31, 2024;;Otros;;AV. CIRCUNVALACIÓN - SAN LUIS;December 31, 2024;madrugada;2025;1;1;150125;-11.86517206;-77.08039317;LIMA;LIMA;PUENTE PIEDRA;FUERO COMUN;PATRIMONIO (DELITO);ROBO;ASALTO Y ROBO DE VEHICULOS;LIMA;LIMA;DIVPOL NORTE 1;September 29, 2025;DGIS;3;SIN COORDENADA;GEO FORZADA AL CENTROIDE DE UBIC COMISARIA;-77.08039317;-11.86517206
3.13E+14;SAN VICENTE DE CAÑETE;CALLE SANTA RITA CON MIGUEL GRAU;January 1, 2025;;Otros;;CALLE HIPOLITO UNANUE COOP EL POR VENIR;December 31, 2024;madrugada;2025;1;1;150501;-13.07568146;-76.37973506;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;FUERO COMUN;PATRIMONIO (DELITO);ROBO;ROBO AGRAVADO;LIMA;LIMA;DIVPOL CAÑETE;September 29, 2025;DGIS;3;SIN COORDENADA;GEO FORZADA AL CENTROIDE DE UBIC COMISARIA;-76.37973506;-13.07568146
3.13E+14;VITARTE;AV NICOLAS AYLLON S/N CC KM 7.5 VITARTE;January 1, 2025;;Otros;;MARCO PUENTE LLANO TAGORE;December 31, 2024;madrugada;2025;1;1;150103;-12.07136409;-76.98063191;LIMA;LIMA;ATE;FUERO COMUN;PATRIMONIO (DELITO);ROBO;ROBO AGRAVADO;LIMA;LIMA;DIVPOL ESTE 2;September 29, 2025;DGIS;3;SIN COORDENADA;GEO FORZADA AL CENTROIDE DE UBIC COMISARIA;-76.98063191;-12.07136409
3.13E+14;PRO;JR. CONFRATERNIDAD CUADRA 07 URB. PRO;January 1, 2025;;Otros;;AV CENTRAL CON AV CANTA CALLAO;January 1, 2025;madrugada;2025;1;1;150135;-12.03190286;-77.06955472;LIMA;LIMA;SAN MARTIN DE PORRES;FUERO COMUN;PATRIMONIO (DELITO);ROBO;ROBO;LIMA;LIMA;DIVPOL NORTE 3;September 29, 2025;DGIS;3;SIN COORDENADA;GEO FORZADA AL CENTROIDE DE UBIC COMISARIA;-77.06955472;-12.03190286
3.13E+14;BARRANCA;INTERSECCION CALLE INDEPENDENCIA CON SANTA ZORAIDA SN;January 1, 2025;;Otros;;VIRGEN DE CHAPI BARRANCA;December 31, 2024;madrugada;2025;1;1;150201;-10.76694117;-77.75621955;LIMA;BARRANCA;BARRANCA;FUERO COMUN;PATRIMONIO (DELITO);ROBO;ROBO;LIMA;LIMA;DIVPOL BARRANCA;September 29, 2025;DGIS;3;SIN COORDENADA;GEO FORZADA AL CENTROIDE DE UBIC COMISARIA;-77.75621955;-10.76694117
3.13E+14;VMT;AV.EL TRIUNFO 374 CERCADO VILLA MARIA DEL TRIUNFO;January 1, 2025;;Otros;;JR PROCERES CDRA N°1;January 1, 2025;madrugada;2025;1;1;150143;-12.22421716;-76.91600319;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;FUERO COMUN;PATRIMONIO (DELITO);ROBO;ROBO AGRAVADO;LIMA;LIMA;DIVPOL SUR 3;September 29, 2025;DGIS;3;SIN COORDENADA;GEO FORZADA AL CENTROIDE DE UBIC COMISARIA;-76.91600319;-12.22421716
3.13E+14;MATEO PUMACAHUA;calle las gemas s/N la huayrona sjl;January 1, 2025;;Otros;;LOZA DEPORTIVA 1RO DE ABRIL;January 1, 2025;madrugada;2025;1;1;150133;-12.18149142;-76.96104391;LIMA;LIMA;SAN JUAN DE MIRAFLORES;FUERO COMUN;PATRIMONIO (DELITO);ROBO;ROBO AGRAVADO;LIMA;LIMA;DIVPOL SUR 2;September 29, 2025;DGIS;3;SIN COORDENADA;GEO FORZADA AL CENTROIDE DE UBIC COMISARIA;-76.96104391;-12.18149142
3.13E+14;SANTOYO;JR.CHIMBOTE 2110;January 1, 2025;;Otros;;PARADERO CHIQUIAN EL AGUSTINO;January 1, 2025;mañana;2025;1;1;150101;-12.05583619;-77.08190567;LIMA;LIMA;LIMA;FUERO COMUN;PATRIMONIO (DELITO);ROBO;ROBO AGRAVADO;LIMA;LIMA;DIVPOL CENTRO 1;September 29, 2025;DGIS;3;SIN COORDENADA;GEO FORZADA AL CENTROIDE DE UBIC COMISARIA;-77.08190566;-12.05583619
3.13E+14;BREÑA;JR. GENERAL VARELA NRO. 1978;January 1, 2025;;Otros;;JIRÓN PASTAZA 618, BREÑA 15083, PERÚ;January 1, 2025;mañana;2025;1;1;150105;-12.0573475;-77.0538325;LIMA;LIMA;BREÑA;FUERO COMUN;PATRIMONIO (DELITO);ROBO;TENTATIVA DE ROBO;LIMA;LIMA;DIVPOL OESTE;September 29, 2025;DGIS;1;CON COORDENADA;COORDENADA OK;-77.0538325;-12.0573475
3.13E+14;LAURA CALLER;JR. MARAÑON CUADRA 8 AV. UNIVERSITARIA;January 1, 2025;;Otros;;OVALO HUANDOY;January 1, 2025;madrugada;2025;1;1;150117;-11.96567169;-77.07576512;LIMA;LIMA;LOS OLIVOS;FUERO COMUN;PATRIMONIO (DELITO);ROBO;ROBO AGRAVADO;LIMA;LIMA;DIVPOL NORTE 1;September 29, 2025;DGIS;3;SIN COORDENADA;GEO FORZADA AL CENTROIDE DE UBIC COMISARIA;-77.07576512;-11.96567169
